eta;professione;stato_civile;istruzione;default;prestito_casa;prestito_personale;mese;giorno_settimana;campagne;giorni_p;precedente;outcome_p;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
56;housemaid;married;basic.4y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
57;services;married;high.school;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;services;married;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;admin.;married;basic.6y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;services;married;high.school;no;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
45;services;married;basic.9y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
59;admin.;married;professional.course;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;blue-collar;married;unknown;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
24;technician;single;professional.course;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
25;services;single;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;blue-collar;married;unknown;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
25;services;single;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
29;blue-collar;single;high.school;no;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
57;housemaid;divorced;basic.4y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;blue-collar;married;basic.6y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;blue-collar;married;basic.6y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
46;blue-collar;married;basic.6y;unknown;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
50;blue-collar;married;basic.9y;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;management;single;basic.9y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
30;unemployed;married;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
